keys,it,en
HUD_HP,Salute,Health
HUD_SPIRITUALITA,Spiritualità,Spirit
HUD_HP_VALORE,{0} / {1},{0} / {1}
HUD_RECITAZIONE,Recitazione,Acting
HUD_AVANZAMENTO_PRONTO,Avanzamento pronto,Advancement ready
HUD_AVANZAMENTO_FORZATO,Avanzamento solo forzando (fondamenta -25),Advancement only by forcing (foundation -25)
BOOK_SCAFFALE_TOMO_NUOVO,Tomo nuovo,New tome
BOOK_SCAFFALE_TOMO_BRUCIATO,Tomo bruciato,Burnt tome
BOOK_SCAFFALE_RIPRENDI,Torna alla partita,Back to game
BOOK_FRONTESPIZIO_INVITO,Scrivi il tuo nome sul frontespizio,Write your name on the title page
BOOK_FRONTESPIZIO_CONFERMA,Comincia,Begin
BOOK_FRONTESPIZIO_SEQUENZA,Sequenza,Sequence
